,WORD,TITLE,CONTENT,LINK,DATE
0,AUSTRALIA PV,Rooftop PV and energy storage carry torch for Australian renewables utility-scale solar lags behind,Growth in rooftop solar and investment into energy storage led renewables to fulfil 40% of Australia's electricity supply in 2023.,https://www.pv-tech.org/rooftop-pv-and-energy-storage-lead-2023-australian-renewables/,4 weeks ago
1,AUSTRALIA PV,Neoen shut down Australian solar-plus-storage plant after 7 years,The DeGrussa solar and battery hub in remote Western Australia – the largest integrated off-grid solar and battery storage facility in Australia when it was...,https://www.pv-magazine.com/2024/01/18/neoen-shut-down-australian-solar-plus-storage-plant-after-7-years/,Jan 18 2024
2,AUSTRALIA PV,Rooftop solar's success results in 'struggling' large-scale segment in Australia,As rooftop solar racks up records in Australia price cannibalization has resulted in a “struggling” large-scale market segment. Bruce Mountain head of the...,https://www.pv-magazine-india.com/2024/02/16/rooftop-solars-success-results-in-struggling-large-scale-segment-in-australia/,1 month ago
3,AUSTRALIA PV,Australia should develop solar PV sector to avoid dependence on China report finds,Australia should develop its own solar photovoltaic (PV) manufacturing sector to avoid over-reliance on China for supply and tap into an industry with great...,https://www.theguardian.com/australia-news/2024/feb/02/australia-should-develop-solar-pv-sector-to-avoid-dependence-on-china-report-finds,Feb 1 2024
4,AUSTRALIA PV,"Australian solar manufacturing base is ""feasible"" - ARENA",ARENA's Silicon To Solar study seeks to outline a “credible pathway” for Australia to establish 10GW of polysilicon (poly-si) purification capacity and 5GW...,https://www.pv-tech.org/arena-says-australian-solar-manufacturing-base-is-feasible/,Feb 5 2024
5,AUSTRALIA PV,Australian PV manufacturing should start immediately viability study finds,The Silicon to Solar (Roadmap) study has found Australian PV supply chain manufacturing is viable and calls for immediate action to establish it as a...,https://www.pv-magazine.com/2024/02/15/australian-pv-manufacturing-should-start-immediately-viability-study-finds/,1 month ago
6,AUSTRALIA PV,Big batteries to create tailwinds for large-scale solar in Australia,The accelerating deployment of large-scale energy storage is one factor behind the tailwinds forming for large-scale solar in Australia.,https://www.pv-magazine.com/2024/02/22/big-batteries-to-create-tailwinds-for-large-scale-solar-in-australia/,1 month ago
7,AUSTRALIA PV,EDP acquires 1.5GW renewables portfolio in Australia,Portuguese utility EDP through its subsidiary EDP Renewables (EDPR) has acquired Australian solar developer ITP Development.,https://www.pv-tech.org/edp-acquires-1-5gw-renewables-portfolio-in-australia/,Jan 30 2024
8,AUSTRALIA PV,PV and prices – the fast uptake of solar in Australia,Australia currently has about 40% renewable electricity mostly solar and wind. This is not causing wholesale spot prices to change nor destabilizing the...,https://www.pv-magazine.com/2024/01/15/pv-and-prices-the-fast-uptake-of-solar-in-australia/,Jan 15 2024
9,AUSTRALIA PV,Anthony Albanese launches Sunshot to boost to PV manufacturing,Australia has launched the Solar Sunshot programme a US$650 million (A$1 billion) investment for the Australian module manufacturing sector.,https://www.pv-tech.org/future-made-australia-anthony-albanese-sunshot-pv-manufacturing/,1 week ago
